term	beta	SE	p	model_R2
Relative_brain_size	-0.174943925509006	0.313837735996285	0.579088382442199	0.28374834582939
Mass	0.179210681251333	0.297166741370989	0.548501901637994	0.28374834582939
DietBreadth	-0.576040303294498	0.13679984068886	7.75853097086102e-05	0.28374834582939
HabitatBreadth	0.458214870581784	0.122064753797089	0.000366481898381255	0.28374834582939
GenerationLength	-0.701612188630346	0.325631768114294	0.0347905361955868	0.28374834582939
