node	state
84	-0.136979967154961
85	-0.0592147391082836
86	0.0175360028141351
87	0.109935326709173
88	0.121244889940883
89	0.186612213447831
90	0.200335773474019
91	0.853710678300478
92	0.738075026050458
93	0.734995849020288
94	0.645227533005058
95	0.753828970158184
96	0.581826441649444
97	0.367839906033768
98	0.116607179522826
99	0.287593728224537
100	0.223855624286298
101	0.361242234140503
102	0.547416529378712
103	0.728666499748106
104	0.714194928014573
105	0.682497005432048
106	0.740019274827561
107	0.832033098679282
108	0.698148550573164
109	0.103072338233693
110	1.57041853965492
111	-0.259188400996964
112	1.05431566440024
113	1.78161053927735
114	0.748476168300496
115	0.210614201094414
116	0.517543732671719
117	0.114391641963149
118	0.533025460635466
119	0.798118073796037
120	0.796446112186276
121	0.585807028262572
122	-0.0893705397249235
123	-0.094734246767424
124	-0.104191677001964
125	-0.0953955191777984
126	-0.0265916876188884
127	0.0404111001220745
128	0.652157284131413
129	0.542476165339536
130	1.15185279772464
131	1.60159221971436
132	-0.100281706559914
133	-0.0313890082624045
134	-0.523587196252173
135	-0.110499304262304
136	-0.114304640765044
137	-0.157551273225315
138	-0.157361310441417
139	-0.180864276971818
140	-0.124014074193857
141	0.0984559224597519
142	-0.124947335771733
143	-0.133696472144088
144	-0.14994190610599
145	-0.207961770458806
146	-0.151141475474734
147	-0.370362423720303
148	-0.155967458983827
149	-0.124326894557683
150	-0.122209051197994
151	-0.0371596376471775
152	-0.0397567048815781
153	-0.104173024250053
154	-0.125007343213315
155	0.0491916379050459
156	-0.065519734109591
157	-0.360600081552023
158	-0.486359351733256
159	0.500933488126896
160	-0.290964096645553
161	-0.113465118542736
162	-0.189588481466104
163	0.0798610689217972
164	0.215728515850788
165	-0.306687028722584
