species	PC1	PC2	innovation
Zonotrichia_albicollis	0.0414474772661065	1.05921647208701	-0.466523093
Melospiza_georgiana	0.504331416092501	1.14978584996705	-0.347418515
Melospiza_melodia	-0.414202529270097	0.274984707414657	0.592412913
Passerculus_sandwichensis	-1.53079505383869	0.355747076416432	0.651491036
Geothlypis_trichas	0.410053305942838	0.614491072225383	0.697598056
Agelaius_phoeniceus	0.689492071181975	0.475909165188801	0.108805311
Haemorhous_mexicanus	-0.321563886001458	1.03017579640488	0.161343742
Fringilla_coelebs	-0.654719606984101	0.391014409130896	0.812730351
Passer_domesticus	-1.75677668056307	-1.09992267114658	2.587342037
Catharus_ustulatus	0.242620454600041	1.47276511043904	0.268560859
Erithacus_rubecula	-1.34453273159983	0.370653586534494	0.822059572
Cinclus_cinclus	0.296230704617206	1.37831761468718	0.55112073
Acridotheres_tristis	-0.65616521070648	0.923619242895152	1.099156443
Sylvia_borin	-1.02851861192828	0.736157168539042	-0.493708573
Sylvia_atricapilla	-0.855305146180761	0.778737913298011	0.530875406
Zosterops_lateralis	-0.906271875365876	1.54522043866377	0.943483119
Hirundo_rustica	-2.18580012638167	-1.2101639351176	2.19760713
Poecile_atricapillus	0.510214426735683	0.809360574105094	0.205694348
Cyanocitta_cristata	0.375088810221458	0.23365345945073	1.604750296
Lathamus_discolor	0.984324808952391	0.879291149321214	-0.300091271
Ara_ararauna	1.56984062229808	-0.809273049354262	-0.408496654
Falco_rusticolus	0.510319274417247	0.190202045474829	0.610143191
Falco_biarmicus	-0.472336233358241	-0.423365920139977	0.650444149
Falco_peregrinus	-1.8043749556238	-1.79710937581841	2.368015491
Falco_naumanni	0.349246272572919	0.253528024652169	0.182865711
Haliaeetus_albicilla	0.267270692525429	-2.60721858846375	-0.591259151
Buteo_buteo	0.774532351318266	-0.73888408314099	1.57692688
Harpia_harpyja	3.06092925525159	-1.10521245476921	1.052133929
Aquila_chrysaetos	0.263288387678298	-3.07094214278136	1.325207342
Gypaetus_barbatus	2.42496221337075	-1.59239535191801	0.164346503
Sarcoramphus_papa	2.00565103257367	-1.15463366767051	-0.339357039
Numenius_arquata	-1.26391427693494	0.02585461200805	-0.529668586
Rissa_tridactyla	0.972992898764555	0.505797989344831	0.097972721
Larus_argentatus	-0.448226972110365	-0.830225162864797	2.046446893
Larus_fuscus	-1.10079124466266	-1.26161463538596	0.52987841
Sterna_hirundo	-0.678151447954829	-1.10426693451169	1.174264522
Vanellus_vanellus	0.495017569735733	-0.0141384969241431	-0.592582724
Pluvialis_apricaria	-0.486668516130047	1.14303645932098	0.188067438
Grus_grus	0.0880357791888957	-1.04729239967748	-0.582528729
Gallinula_chloropus	-2.67613389284078	-0.771377433884906	1.412019943
Calonectris_borealis	-0.269397359132257	-3.38838249783347	-0.283199447
Spheniscus_humboldti	1.99755008590534	0.607655488119548	-0.452241259
Morus_bassanus	2.58887122705723	-1.86145732798579	-0.513679398
Phalacrocorax_carbo	-0.922867573286861	-1.81531274760337	1.540806878
Platalea_leucorodia	0.163768044987721	0.378285973875478	-0.493708573
Gavia_stellata	0.0898017912382382	0.00145507277650464	-0.478144386
Phaethon_aethereus	1.25047717755346	1.49413603051591	-0.364310339
Opisthocomus_hoazin	0.888153326565331	1.36089182171009	-0.297481281
Phoenicopterus_ruber	1.63066291748307	0.538307831965229	-0.526371137
Columba_livia	-0.762241097348652	0.806513229193657	0.452846207
Streptopelia_decaocto	-1.13651994520845	0.583562281018249	-0.539300414
Streptopelia_turtur	-0.682023286361451	0.598204460699991	-0.44920333
Patagioenas_fasciata	0.164920295527216	1.40143321302119	-0.374071836
Cuculus_canorus	-1.20679372881562	-0.889325608802903	-0.561671526
Chlamydotis_macqueenii	-0.345472709397128	1.43676421073934	-0.316553171
Caprimulgus_europaeus	-0.341284838824597	0.508751112290388	-0.485386237
Podargus_strigoides	0.285500383417598	-0.0647268726451186	-0.344277586
Apus_apus	-0.994054526391333	-1.35645956040384	0.548140293
Aythya_marila	-0.453502808246676	0.398274944224305	-0.44816814
Aythya_fuligula	-1.34836914323177	0.0781414360654952	-0.548201513
Aythya_ferina	-1.31208628261985	-0.0941229109835436	-0.506477183
Netta_rufina	0.705303840616365	1.1657088674291	0.248155873
Anas_acuta	-1.28093555554908	0.0151686461546775	-0.53733328
Anas_platyrhynchos	-2.21073808876802	-1.11454858683585	1.716853235
Clangula_hyemalis	0.321689939577392	0.704001486120468	-0.4639253
Bucephala_clangula	-0.989750718931394	-0.201689242025489	-0.532224569
Cygnus_olor	1.49893008589243	-0.333972491341749	0.092193211
Cygnus_columbianus	1.89231635020654	-0.443644299983945	-0.524105779
Anser_anser	0.928143237648998	-0.263891720111262	0.105282129
Tetrao_urogallus	0.551764657738901	1.37617086008146	0.106909623
Gallus_gallus	-0.381420523796102	2.07196498814123	0.429281717
Apteryx_mantelli	0.0987655022850627	1.29070512790178	-0.309852768
Dromaius_novaehollandiae	3.33019849533865	-0.948046849487844	-0.490138486
