branch_id	parent	child	parent_value	child_value	branch_length	delta
edge_27	95	9	0.753828970158184	2.587342037	0.0364508	1.83351306684182
edge_97	133	47	-0.0313890082624045	1.412019943	0.0935042	1.4434089512624
edge_108	141	51	0.0984559224597519	1.540806878	0.043238	1.44235095554025
edge_43	107	18	0.832033098679282	2.19760713	0.0463078	1.36557403132072
edge_148	159	73	0.500933488126896	1.716853235	0.00283323	1.2159197468731
edge_69	121	32	0.585807028262572	1.57692688	0.0100487	0.991119851737428
edge_51	89	112	0.186612213447831	1.05431566440024	0.0769354	0.867703450952412
edge_62	88	30	0.121244889940883	0.906285757	0.155402	0.785040867059117
edge_52	112	113	1.05431566440024	1.78161053927735	0.00395348	0.727294874877109
edge_45	91	110	0.853710678300478	1.57041853965492	0.0295088	0.716707861354444
edge_7	90	91	0.200335773474019	0.853710678300478	0.0447178	0.653374904826459
edge_81	127	128	0.0404111001220745	0.652157284131413	0.0321921	0.611746184009339
edge_84	129	130	0.542476165339536	1.15185279772464	0.00266237	0.609376632385102
edge_120	146	58	-0.151141475474734	0.452846207	0.0127901	0.603987682474734
edge_58	113	27	1.78161053927735	2.368015491	0.000376444	0.586404951722648
edge_134	151	67	-0.0371596376471775	0.548140293	0.0828487	0.585299930647178
edge_71	119	34	0.798118073796037	1.325207342	0.0107225	0.527089268203963
edge_89	128	42	0.652157284131413	1.174264522	0.0176285	0.522107237868587
edge_146	155	159	0.0491916379050459	0.500933488126896	0.00667363	0.45174185022185
edge_85	130	131	1.15185279772464	1.60159221971436	0.000182771	0.449739421989721
