trait	TOTAL	FOOD	TECH
DietBreadth	0.00225154675928506	0.079489122179122	-0.0482992185602228
GenerationLength	-0.085266658499786	-0.046473309305285	-0.0709209217375233
HabitatBreadth	0.30771534998708	0.189883328319032	0.324138256137347
Mass	-0.0299994510974905	0.000264401424378635	-0.0620943904281354
Relative_brain_size	0.291940574516271	0.264109817149081	0.170655683829869
