innovation	TOTAL	FOOD	TECH
FOOD	7.33137435857406e-05	7.33137435857406e-05	7.33137435857406e-05
TECH	0.228287969438099	0.228287969438099	0.228287969438099
TOTAL	0.191113839499559	0.191113839499559	0.191113839499559
