node	state
84	0.0574983369867514
85	0.13081057114543
86	0.22224486819745
87	0.317966763903195
88	0.326071467046046
89	0.366092619767405
90	0.383302870008038
91	0.682056025180073
92	0.79566644920719
93	0.799498427972123
94	0.784676138556444
95	0.879724297488713
96	0.734075581695551
97	0.522905477750158
98	-0.0848689405816043
99	-0.267176327157653
100	-0.227422742337977
101	0.631306928308126
102	0.727280500042046
103	0.967969861359025
104	0.954344754578746
105	0.958193520736941
106	0.786825297499564
107	0.757847329833107
108	0.715805853724016
109	0.687799872154712
110	0.598648465281228
111	0.687315053366611
112	0.475971759204356
113	1.34461203094262
114	0.275745862502455
115	-0.218535935970232
116	-0.20254985838333
117	0.377894218291005
118	0.351445191974817
119	0.81384669320816
120	0.80633933833612
121	0.73080094102112
122	0.113718492937223
123	0.109828562960814
124	0.091763080571284
125	0.102806783358457
126	0.208585738276157
127	0.386811581518007
128	0.797041348820924
129	0.780358753273191
130	0.613366690141685
131	1.45335154174081
132	-0.0869021962409487
133	0.155146540824366
134	-0.289725722857696
135	0.0822955177746871
136	0.0772996223637896
137	0.0379976423182538
138	-5.86054226064171e-05
139	-0.0117165976549944
140	-0.00980705913477668
141	0.0851207975888496
142	-0.0190896248759527
143	0.0971048208382909
144	0.0998032005548634
145	0.293586506073918
146	0.596025623452973
147	0.695240032061516
148	0.0718668102351924
149	0.0284626747084004
150	0.0242445139331
151	-0.085032680227168
152	0.137210408309363
153	0.361530024063104
154	0.307866527210677
155	0.131476524795774
156	-0.335334975834981
157	-0.276001533896532
158	0.275746537814353
159	0.226733635875652
160	0.466409485580823
161	0.458350281999277
162	0.531801836622957
163	0.351621790900526
164	-0.325343403955637
165	-0.102490955767062
