species	PC1	PC2	innovation
Zonotrichia_albicollis	0.0414474772661065	1.05921647208701	-0.566083114
Melospiza_georgiana	0.504331416092501	1.14978584996705	-0.427602742
Melospiza_melodia	-0.414202529270097	0.274984707414657	0.080933292
Passerculus_sandwichensis	-1.53079505383869	0.355747076416432	-0.543525005
Geothlypis_trichas	0.410053305942838	0.614491072225383	0.203229831
Agelaius_phoeniceus	0.689492071181975	0.475909165188801	1.37637303
Haemorhous_mexicanus	-0.321563886001458	1.03017579640488	0.05116399
Fringilla_coelebs	-0.654719606984101	0.391014409130896	1.388904219
Passer_domesticus	-1.75677668056307	-1.09992267114658	2.454557889
Catharus_ustulatus	0.242620454600041	1.47276511043904	0.581288171
Erithacus_rubecula	-1.34453273159983	0.370653586534494	1.399751107
Cinclus_cinclus	0.296230704617206	1.37831761468718	0.438388853
Acridotheres_tristis	-0.65616521070648	0.923619242895152	1.867946598
Sylvia_borin	-1.02851861192828	0.736157168539042	0.095456085
Sylvia_atricapilla	-0.855305146180761	0.778737913298011	1.395679297
Zosterops_lateralis	-0.906271875365876	1.54522043866377	0.560098442
Hirundo_rustica	-2.18580012638167	-1.2101639351176	0.846765433
Poecile_atricapillus	0.510214426735683	0.809360574105094	0.795876682
Cyanocitta_cristata	0.375088810221458	0.23365345945073	1.503861489
Lathamus_discolor	0.984324808952391	0.879291149321214	0.320570823
Ara_ararauna	1.56984062229808	-0.809273049354262	1.110820911
Falco_rusticolus	0.510319274417247	0.190202045474829	-0.591599269
Falco_biarmicus	-0.472336233358241	-0.423365920139977	0.148404982
Falco_peregrinus	-1.8043749556238	-1.79710937581841	1.962361827
Falco_naumanni	0.349246272572919	0.253528024652169	-0.616960052
Haliaeetus_albicilla	0.267270692525429	-2.60721858846375	-0.017963907
Buteo_buteo	0.774532351318266	-0.73888408314099	1.452350987
Harpia_harpyja	3.06092925525159	-1.10521245476921	0.686424439
Aquila_chrysaetos	0.263288387678298	-3.07094214278136	1.893712726
Gypaetus_barbatus	2.42496221337075	-1.59239535191801	-0.638491943
Sarcoramphus_papa	2.00565103257367	-1.15463366767051	0.680382454
Numenius_arquata	-1.26391427693494	0.02585461200805	0.969936871
Rissa_tridactyla	0.972992898764555	0.505797989344831	0.893774578
Larus_argentatus	-0.448226972110365	-0.830225162864797	1.915151451
Larus_fuscus	-1.10079124466266	-1.26161463538596	-0.684921431
Sterna_hirundo	-0.678151447954829	-1.10426693451169	1.050144576
Vanellus_vanellus	0.495017569735733	-0.0141384969241431	-0.019502797
Pluvialis_apricaria	-0.486668516130047	1.14303645932098	-0.610912114
Grus_grus	0.0880357791888957	-1.04729239967748	-0.700960411
Gallinula_chloropus	-2.67613389284078	-0.771377433884906	1.435032112
Calonectris_borealis	-0.269397359132257	-3.38838249783347	0.340210589
Spheniscus_humboldti	1.99755008590534	0.607655488119548	-0.549477928
Morus_bassanus	2.58887122705723	-1.86145732798579	-0.620910752
Phalacrocorax_carbo	-0.922867573286861	-1.81531274760337	1.410355025
Platalea_leucorodia	0.163768044987721	0.378285973875478	0.095456085
Gavia_stellata	0.0898017912382382	0.00145507277650464	0.113552236
Phaethon_aethereus	1.25047717755346	1.49413603051591	-0.447242509
Opisthocomus_hoazin	0.888153326565331	1.36089182171009	-0.369541777
Phoenicopterus_ruber	1.63066291748307	0.538307831965229	0.057480013
Columba_livia	-0.762241097348652	0.806513229193657	0.83495277
Streptopelia_decaocto	-1.13651994520845	0.583562281018249	1.295210385
Streptopelia_turtur	-0.682023286361451	0.598204460699991	0.147201388
Patagioenas_fasciata	0.164920295527216	1.40143321302119	-0.458591995
Cuculus_canorus	-1.20679372881562	-0.889325608802903	0.016436998
Chlamydotis_macqueenii	-0.345472709397128	1.43676421073934	-0.391716261
Caprimulgus_europaeus	-0.341284838824597	0.508751112290388	-0.588014892
Podargus_strigoides	0.285500383417598	-0.0647268726451186	0.26919633
Apus_apus	-0.994054526391333	-1.35645956040384	-0.663688726
Aythya_marila	-0.453502808246676	0.398274944224305	0.55387009
Aythya_fuligula	-1.34836914323177	0.0781414360654952	0.032098297
Aythya_ferina	-1.31208628261985	-0.0941229109835436	-0.612536888
Netta_rufina	0.705303840616365	1.1657088674291	-0.541048563
Anas_acuta	-1.28093555554908	0.0151686461546775	-0.648412619
Anas_platyrhynchos	-2.21073808876802	-1.11454858683585	1.130410399
Clangula_hyemalis	0.321689939577392	0.704001486120468	0.823231646
Bucephala_clangula	-0.989750718931394	-0.201689242025489	0.456139459
Cygnus_olor	1.49893008589243	-0.333972491341749	0.37622924
Cygnus_columbianus	1.89231635020654	-0.443644299983945	0.753261077
Anser_anser	0.928143237648998	-0.263891720111262	0.391447448
Tetrao_urogallus	0.551764657738901	1.37617086008146	-0.705272588
Gallus_gallus	-0.381420523796102	2.07196498814123	-0.108735895
Apteryx_mantelli	0.0987655022850627	1.29070512790178	-0.383925844
Dromaius_novaehollandiae	3.33019849533865	-0.948046849487844	0.09960695
