branch_id	parent	child	parent_value	child_value	branch_length	delta
edge_1	84	85	0.0574983369867514	0.13081057114543	0.0183752	0.0733122341586791
edge_2	85	86	0.13081057114543	0.22224486819745	0.0254796	0.0914342970520191
edge_3	86	87	0.22224486819745	0.317966763903195	0.00362304	0.0957218957057451
edge_4	87	88	0.317966763903195	0.326071467046046	0.000454865	0.00810470314285161
edge_5	88	89	0.326071467046046	0.366092619767405	0.0032994	0.0400211527213586
edge_6	89	90	0.366092619767405	0.383302870008038	0.00160819	0.0172102502406328
edge_7	90	91	0.383302870008038	0.682056025180073	0.0447178	0.298753155172035
edge_8	91	92	0.682056025180073	0.79566644920719	0.0119497	0.113610424027117
edge_9	92	93	0.79566644920719	0.799498427972123	0.000294814	0.00383197876493313
edge_10	93	94	0.799498427972123	0.784676138556444	0.0090723	-0.0148222894156788
edge_11	94	95	0.784676138556444	0.879724297488713	0.0050569	0.0950481589322691
edge_12	95	96	0.879724297488713	0.734075581695551	0.0059671	-0.145648715793162
edge_13	96	97	0.734075581695551	0.522905477750158	0.00902488	-0.211170103945393
edge_14	97	98	0.522905477750158	-0.0848689405816043	0.0114671	-0.607774418331762
edge_15	98	1	-0.0848689405816043	-0.566083114	0.0144439	-0.481214173418396
edge_16	98	99	-0.0848689405816043	-0.267176327157653	0.009261	-0.182307386576049
edge_17	99	100	-0.267176327157653	-0.227422742337977	0.00152709	0.0397535848196759
edge_18	100	2	-0.227422742337977	-0.427602742	0.0045573	-0.200179999662023
edge_19	100	3	-0.227422742337977	0.080933292	0.00440777	0.308356034337977
edge_20	99	4	-0.267176327157653	-0.543525005	0.00604467	-0.276348677842347
edge_21	97	101	0.522905477750158	0.631306928308126	0.00366185	0.108401450557968
edge_22	101	5	0.631306928308126	0.203229831	0.0232519	-0.428077097308126
edge_23	101	6	0.631306928308126	1.37637303	0.0155179	0.745066101691874
edge_24	96	102	0.734075581695551	0.727280500042046	0.00672803	-0.00679508165350473
edge_25	102	7	0.727280500042046	0.05116399	0.024408	-0.676116510042046
edge_26	102	8	0.727280500042046	1.388904219	0.0247886	0.661623718957954
edge_27	95	9	0.879724297488713	2.454557889	0.0364508	1.57483359151129
edge_28	94	10	0.784676138556444	-0.023869599	0.0395773	-0.808545737556444
edge_29	93	103	0.799498427972123	0.967969861359025	0.0115141	0.168471433386902
