term	beta	SE	p	model_R2
Relative_brain_size	-0.202498441117678	0.490698665706243	0.681163282663166	0.162202175285339
Mass	0.166157851972831	0.464632855638312	0.721758479412625	0.162202175285339
DietBreadth	-0.740800167870776	0.213892376841659	0.000934161099222295	0.162202175285339
HabitatBreadth	0.309352289967097	0.190853440960017	0.109738708188696	0.162202175285339
GenerationLength	-0.738105208018151	0.509139137197767	0.15180381155657	0.162202175285339
