branch_id	parent	child	parent_value	child_value	branch_length	delta
edge_1	84	85	-0.0268075086825171	0.0886124758997151	0.0183752	0.115419984582232
edge_2	85	86	0.0886124758997151	0.200163593426358	0.0254796	0.111551117526643
edge_3	86	87	0.200163593426358	0.334750001026267	0.00362304	0.134586407599909
edge_4	87	88	0.334750001026267	0.347444388550039	0.000454865	0.0126943875237717
edge_5	88	89	0.347444388550039	0.418320734292161	0.0032994	0.0708763457421229
edge_6	89	90	0.418320734292161	0.442661112333761	0.00160819	0.0243403780415998
edge_7	90	91	0.442661112333761	1.06801087945305	0.0447178	0.625349767119287
edge_8	91	92	1.06801087945305	1.01449380078207	0.0119497	-0.0535170786709813
edge_9	92	93	1.01449380078207	1.01332357086182	0.000294814	-0.00117022992025073
edge_10	93	94	1.01332357086182	0.904273929849527	0.0090723	-0.109049641012289
edge_11	94	95	0.904273929849527	1.00442981940853	0.0050569	0.100155889559006
edge_12	95	96	1.00442981940853	0.835692197798692	0.0059671	-0.168737621609841
edge_13	96	97	0.835692197798692	0.612069304298423	0.00902488	-0.223622893500268
edge_14	97	98	0.612069304298423	0.0122997192125012	0.0114671	-0.599769585085922
edge_15	98	1	0.0122997192125012	-0.828218919	0.0144439	-0.840518638212501
edge_16	98	99	0.0122997192125012	0.0668325137069471	0.009261	0.0545327944944459
edge_17	99	100	0.0668325137069471	0.0160826101887321	0.00152709	-0.050749903518215
edge_18	100	2	0.0160826101887321	-0.626154523	0.0045573	-0.642237133188732
edge_19	100	3	0.0160826101887321	0.490763469	0.00440777	0.474680858811268
edge_20	99	4	0.0668325137069471	0.303309158	0.00604467	0.236476644293053
edge_21	97	101	0.612069304298423	0.712861802725528	0.00366185	0.100792498427105
edge_22	101	5	0.712861802725528	0.669213137	0.0232519	-0.0436486657255279
edge_23	101	6	0.712861802725528	1.169122662	0.0155179	0.456260859274472
edge_24	96	102	0.835692197798692	0.81214742185427	0.00672803	-0.0235447759444217
edge_25	102	7	0.81214742185427	0.159643356	0.024408	-0.65250406585427
edge_26	102	8	0.81214742185427	1.388078311	0.0247886	0.57593088914573
edge_27	95	9	1.00442981940853	2.757122164	0.0364508	1.75269234459147
edge_28	94	10	0.904273929849527	-0.355307427	0.0395773	-1.25958135684953
edge_29	93	103	1.01332357086182	1.10601992582834	0.0115141	0.0926963549665194
edge_30	103	104	1.10601992582834	1.0885566426211	0.00134831	-0.0174632832072326
edge_31	104	105	1.0885566426211	1.07335351552335	0.00436576	-0.015203127097748
edge_32	105	11	1.07335351552335	0.6292224	0.0391033	-0.444131115523355
edge_33	105	12	1.07335351552335	1.403905607	0.041972	0.330552091476645
edge_34	104	13	1.0885566426211	0.643853626	0.046961	-0.444703016621103
edge_35	103	14	1.10601992582834	1.87013244	0.0363817	0.764112514171664
edge_36	92	106	1.01449380078207	1.01320420207512	0.00253287	-0.001289598706947
edge_37	106	107	1.01320420207512	1.05222374856094	0.00788462	0.0390195464858236
edge_38	107	108	1.05222374856094	0.947074776453866	0.00751357	-0.105148972107078
edge_39	108	109	0.947074776453866	0.572533117971755	0.0239984	-0.374541658482111
edge_40	109	15	0.572533117971755	-0.181192699	0.00991237	-0.753725816971755
edge_41	109	16	0.572533117971755	1.302654023	0.0120817	0.730120905028245
edge_42	108	17	0.947074776453866	1.003768399	0.035161	0.0566936225461344
edge_43	107	18	1.05222374856094	1.929449065	0.0463078	0.877225316439057
edge_44	106	19	1.01320420207512	0.745711079	0.0490097	-0.26749312307512
edge_45	91	110	1.06801087945305	1.61282854937726	0.0295088	0.54481766992421
edge_46	110	20	1.61282854937726	1.865973773	0.00980608	0.253145223622741
edge_47	110	21	1.61282854937726	1.538006995	0.0101767	-0.0748215543772586
edge_48	90	111	0.442661112333761	0.529681400689376	0.0756104	0.0870202883556144
edge_49	111	22	0.529681400689376	0.147284709	0.0365236	-0.382396691689376
