term	beta	SE	p	model_R2
Relative_brain_size	0.291940574516271	0.105566765010056	0.00733707071284947	0.170994099447577
Mass	-0.0299994510974905	0.087735955580629	0.733474678275073	0.170994099447577
DietBreadth	0.00225154675928506	0.0984156964590019	0.98181565043589	0.170994099447577
HabitatBreadth	0.30771534998708	0.0979919519357086	0.00251201307898462	0.170994099447577
GenerationLength	-0.085266658499786	0.10385095694048	0.414530610125183	0.170994099447577
