branch_id	parent	child	parent_value	child_value	branch_length	delta
edge_7	90	91	0.442661112333761	1.06801087945305	0.0447178	0.625349767119287
edge_26	102	8	0.81214742185427	1.388078311	0.0247886	0.57593088914573
edge_27	95	9	1.00442981940853	2.757122164	0.0364508	1.75269234459147
edge_35	103	14	1.10601992582834	1.87013244	0.0363817	0.764112514171664
edge_41	109	16	0.572533117971755	1.302654023	0.0120817	0.730120905028245
edge_43	107	18	1.05222374856094	1.929449065	0.0463078	0.877225316439057
edge_45	91	110	1.06801087945305	1.61282854937726	0.0295088	0.54481766992421
edge_52	112	113	0.906577680569838	1.77505260697957	0.00395348	0.868474926409733
edge_58	113	27	1.77505260697957	2.399056278	0.000376444	0.62400367102043
edge_62	88	30	0.347444388550039	1.346127095	0.155402	0.998682706449961
edge_69	121	32	0.79392273991779	1.744111318	0.0100487	0.95018857808221
edge_71	119	34	1.00863999439304	1.905942966	0.0107225	0.897302971606964
edge_81	127	128	0.358823768596031	0.931231996090282	0.0321921	0.572408227494251
edge_85	130	131	1.0893073818186	1.75371626875896	0.000182771	0.664408886940357
edge_97	133	47	0.0566510341357536	1.696548136	0.0935042	1.63989710186425
edge_108	141	51	0.0108665276546958	1.682832679	0.043238	1.6719661513453
edge_122	147	59	0.453783133296931	0.99422238	0.00594836	0.540439246703069
edge_148	159	73	0.316654406481871	1.641056768	0.00283323	1.32440236151813
