species
Acanthoptila_nipalensis
Accipiter_albogularis
Accipiter_badius
Accipiter_bicolor
Accipiter_brachyurus
Accipiter_brevipes
Accipiter_butleri
Accipiter_castanilius
Accipiter_cirrocephalus
Accipiter_collaris
Accipiter_cooperii
Accipiter_erythrauchen
Accipiter_erythropus
Accipiter_fasciatus
Accipiter_francesiae
Accipiter_gentilis
Accipiter_griseiceps
Accipiter_gularis
Accipiter_gundlachi
Accipiter_henicogrammus
Accipiter_henstii
Accipiter_hiogaster
Accipiter_imitator
Accipiter_luteoschistaceus
Accipiter_melanochlamys
Accipiter_melanoleucus
Accipiter_meyerianus
Accipiter_minullus
Accipiter_nanus
Accipiter_novaehollandiae
Accipiter_poliocephalus
Accipiter_princeps
Accipiter_rhodogaster
Accipiter_soloensis
Accipiter_superciliosus
Accipiter_sylvestris
Accipiter_tachiro
Accipiter_trinotatus
Accipiter_trivirgatus
Accipiter_virgatus
Acridotheres_tertius
Acridotheres_tricolor
Actenoides_capucinus
Actenoides_regalis
Actinodura_radcliffei
Aegithalos_annamensis
Aegithalos_bonvaloti
Aegithalos_iredalei
Aegotheles_archboldi
Aethopyga_latouchii
Alopecoenas_hoedtii
Amaurocichla_bocagii
Amazilia_alfaroana
Amazilia_amabilis
Amazilia_amazilia
Amazilia_bartletti
Amazilia_beryllina
Amazilia_boucardi
Amazilia_brevirostris
Amazilia_candida
Amazilia_castaneiventris
Amazilia_chionogaster
Amazilia_cupreicauda
Amazilia_cyanifrons
Amazilia_cyanocephala
Amazilia_cyanura
Amazilia_decora
Amazilia_edward
Amazilia_fimbriata
Amazilia_franciae
Amazilia_lactea
Amazilia_leucogaster
Amazilia_rosenbergi
Amazilia_tobaci
Amazilia_versicolor
Amazilia_violiceps
Amazilia_viridicauda
Amazilia_viridifrons
Amazilia_viridigaster
Amazilia_wagneri
Amazona_bodini
Amazona_guatemalae
Amphilais_seebohmi
Amphispiza_quinquestriata
Anaplectes_leuconotos
Anisognathus_flavinucha
Anisognathus_lunulatus
Anser_cygnoid
Anthoscopus_sylviella
Anthropoides_paradiseus
Anthropoides_virgo
Anthus_lutescens
Antilophia_bokermanni
Antilophia_galeata
Anurophasis_monorthonyx
Apalis_flavocincta
Aphantochroa_cirrochloris
Aphrastura_masafucrae
Apteryx_haastii
Arachnothera_hypogrammica
Arborophila_charltonii
Arborophila_chloropus
Arborophila_graydoni
Arborophila_tonkinensis
Artamus_leucoryn
Artisornis_sousae
Asthenes_usheri
Atlantisia_rogersi
Atlapetes_meridae
Atlapetes_paynteri
Atthis_ellioti
Atthis_heloisa
Aulacorhynchus_atrogularis
Aulacorhynchus_caeruleogularis
Aulacorhynchus_calorhynchus
Aulacorhynchus_cyanolaemus
Aulacorhynchus_wagleri
Basileuterus_auricapilla
Basileuterus_cabanisi
Basileuterus_griseiceps
Basileuterus_hypoleucus
Basileuterus_lachrymosus
Batis_reichenowi
Bonasa_bonasia
Bonasa_sewerzowi
Bradypterus_alfredi
Bubulcus_ibis
Buettikoferella_bivittata
Bugeranus_carunculatus
Buphagus_erythrorynchus
Burhinus_bistriatus
Burhinus_superciliaris
Bycanistes_sharpii
Cacicus_pacificus
Cacicus_vitellinus
Calamanthus_cautus
Calamanthus_pyrrhopygius
Calamonastides_bensoni
Calendulauda_alopex
Calliphlox_bryantae
Calliphlox_evelynae
Calliphlox_mitchellii
Camaroptera_toroensis
Campephilus_splendens
Campethera_cailliautii
Campethera_caroli
Campethera_nivosa
Campylopterus_curvipennis
Campylopterus_rufus
Caracara_cheriway
Caryothraustes_celaeno
Caryothraustes_erythromelas
Cataponera_turdoides
Catharacta_antarctica
Catharacta_chilensis
Catharacta_maccormicki
Catharacta_skua
Catharus_swainsoni
Celeus_grammicus
Celeus_occidentalis
Celeus_tinnunculus
Centropus_spilopterus
Chaetornis_striata
Charadrius_alexandrinus
Charadrius_alticola
Charadrius_aquilonius
Charadrius_asiaticus
Charadrius_bicinctus
Charadrius_bifrontatus
Charadrius_collaris
Charadrius_dubius
Charadrius_falklandicus
Charadrius_forbesi
Charadrius_javanicus
Charadrius_leschenaultii
Charadrius_marginatus
Charadrius_modestus
Charadrius_mongolus
Charadrius_montanus
Charadrius_nivosus
Charadrius_obscurus
